Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),a-proteobacteria,elongation factor Tu [Rickettsiales bacterium],581,581,11%,0.0,68.38,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL0725529.1?report=genbank&log$=prottop&blast_rank=86&RID=V0PN6D6F014"",""MBL0725529.1"")"
74 member(s) 42 organism(s),proteobacteria,elongation factor Tu [Variovorax sp. TBS-050B],581,581,11%,0.0,69.39,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_280814130.1?report=genbank&log$=prottop&blast_rank=87&RID=V0PN6D6F014"",""WP_280814130.1"")"
1 member(s) 1 organism(s),a-proteobacteria,elongation factor Tu [Rickettsiales endosymbiont of Stachyamoeba lipophora],581,581,11%,0.0,68.62,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_125216271.1?report=genbank&log$=prottop&blast_rank=88&RID=V0PN6D6F014"",""WP_125216271.1"")"
3 member(s) 2 organism(s),bacteria,elongation factor Tu [Candidatus Sumerlaeaceae bacterium],580,580,11%,0.0,68.62,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCX7718499.1?report=genbank&log$=prottop&blast_rank=89&RID=V0PN6D6F014"",""MCX7718499.1"")"
4 member(s) 4 organism(s),proteobacteria,elongation factor Tu [Permianibacter aggregans],580,580,11%,0.0,67.35,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133590181.1?report=genbank&log$=prottop&blast_rank=90&RID=V0PN6D6F014"",""WP_133590181.1"")"
1 member(s) 1 organism(s),bacteria,elongation factor Tu [Deltaproteobacteria bacterium],580,580,11%,0.0,67.60,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCW5827778.1?report=genbank&log$=prottop&blast_rank=91&RID=V0PN6D6F014"",""MCW5827778.1"")"
3 member(s) 3 organism(s),bacteria,elongation factor Tu [candidate division WOR-3 bacterium],580,580,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEO0258399.1?report=genbank&log$=prottop&blast_rank=92&RID=V0PN6D6F014"",""MEO0258399.1"")"
1 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Gammaproteobacteria bacterium],580,580,11%,0.0,67.86,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU0455496.1?report=genbank&log$=prottop&blast_rank=93&RID=V0PN6D6F014"",""MBU0455496.1"")"
3 member(s) 2 organism(s),bacteria,elongation factor Tu [Oligoflexus tunisiensis],579,579,11%,0.0,68.27,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_141736300.1?report=genbank&log$=prottop&blast_rank=94&RID=V0PN6D6F014"",""WP_141736300.1"")"
1 member(s) 1 organism(s),g-proteobacteria,tuf-1 [Gammaproteobacteria bacterium],579,579,11%,0.0,69.15,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBM2829405.1?report=genbank&log$=prottop&blast_rank=95&RID=V0PN6D6F014"",""MBM2829405.1"")"
1 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Pseudomonadales bacterium],579,579,11%,0.0,67.86,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCP5191103.1?report=genbank&log$=prottop&blast_rank=96&RID=V0PN6D6F014"",""MCP5191103.1"")"
1 member(s) 1 organism(s),bacteria,MAG: elongation factor Tu [Candidatus Binatia bacterium],579,579,11%,0.0,67.86,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GIW40119.1?report=genbank&log$=prottop&blast_rank=97&RID=V0PN6D6F014"",""GIW40119.1"")"
32 member(s) 16 organism(s),proteobacteria,elongation factor Tu [Methyloterricola oryzae],579,579,11%,0.0,67.35,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045225224.1?report=genbank&log$=prottop&blast_rank=98&RID=V0PN6D6F014"",""WP_045225224.1"")"
1 member(s) 1 organism(s),bacteria,elongation factor Tu [bacterium],579,579,11%,0.0,68.45,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEZ4460883.1?report=genbank&log$=prottop&blast_rank=99&RID=V0PN6D6F014"",""MEZ4460883.1"")"
4 member(s) 3 organism(s),bacteria,elongation factor Tu [Patescibacteria group bacterium],579,579,11%,0.0,69.29,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP8599821.1?report=genbank&log$=prottop&blast_rank=100&RID=V0PN6D6F014"",""MBP8599821.1"")"



		


